Host Name,Entire home/apts,Private rooms,Shared rooms,Hotel Rooms,Total Listings
Manuel,11,0,17,0,28
Leo,19,0,9,0,28
Veronica,10,0,10,8,28
Alan,13,0,15,0,28
Lana,10,0,18,0,28
Carmen,16,0,11,1,28
Albert,12,0,16,0,28
Leah,8,0,20,0,28
Casamia 36,0,27,1,0,28
Kelly,19,0,9,0,28
Daniela,12,0,15,1,28
Nancy,22,0,6,0,28
Julian,14,0,14,0,28
Kay,9,0,19,0,28
Aamer,0,0,28,0,28
Jeffrey,16,0,11,0,27
Roger,19,0,8,0,27
Deborah,16,0,11,0,27
Oscar,18,0,9,0,27
BP Hosting,0,0,27,0,27
Fernando,18,0,9,0,27
Alice,17,0,10,0,27
Andre,17,0,10,0,27
Gregory,20,0,7,0,27
The Box House Hotel,16,3,8,0,27
Marcelo,6,0,21,0,27
Jamie,17,0,10,0,27
Marco,16,0,10,1,27
Stephen,16,0,11,0,27
Natalia,12,0,13,1,26
Mario,16,0,10,0,26
Crystal,13,0,13,0,26
Stella,9,0,17,0,26
Sasha,12,0,14,0,26
Sebastian,11,0,15,0,26
Jacob,19,0,7,0,26
Raymond,17,0,9,0,26
Erica,14,0,12,0,26
Will,15,0,9,2,26
Alberto,18,0,7,1,26
Shawn,16,0,9,0,25
Best Inns USA,25,0,0,0,25
Vincent,7,0,16,2,25
Gary,12,0,13,0,25
Edwin,15,0,10,0,25
Maggie,21,0,4,0,25
Eli,16,0,9,0,25
Lawrence,10,0,15,0,25
Denise,10,0,14,1,25
Jake,17,0,8,0,25
Claudia,20,0,5,0,25
Helen,7,0,17,1,25
Jane,10,0,14,1,25
Mohammed,6,0,18,0,24
Charlie,10,0,10,4,24
Anastasia,17,0,7,0,24
Stay And Smile,23,0,1,0,24
Emmanuel,8,0,15,1,24
Edward,14,0,10,0,24
Bryan,10,0,13,1,24
Karishma,9,0,15,0,24
Joan,5,0,18,1,24
Olivia,18,0,5,1,24
Evelyn,10,0,14,0,24
Anne,15,0,9,0,24
Kristina & Alex,2,0,22,0,24
Colin,13,0,11,0,24
Esplanade 99,0,0,23,0,23
Rosa,11,0,12,0,23
Jackie,8,0,15,0,23
Donna,14,0,9,0,23
Jean,13,0,10,0,23
Jaime,14,0,9,0,23
Martha,6,0,17,0,23
Barry,16,0,7,0,23
Tanya,13,0,10,0,23
Todd,19,0,4,0,23
Dee,10,0,13,0,23
Sabrina,15,0,8,0,23
Joanna,15,0,8,0,23
Lucy,7,0,16,0,23
Erika,17,0,6,0,23
Carla,8,0,14,1,23
Ricardo,12,0,10,1,23
Courtney,11,0,11,0,22
Dana,12,0,10,0,22
Dave,11,0,11,0,22
Shirley,5,0,17,0,22
Chloe,13,0,9,0,22
Sherry,7,0,15,0,22
Global Luxury Suites,22,0,0,0,22
Miguel,3,0,19,0,22
Bruce,16,0,6,0,22
Chelsea,14,0,8,0,22
Tina,13,0,9,0,22
Sophie,10,0,12,0,22
Miriam,11,0,11,0,22
Koichi,0,0,22,0,22
Yvonne,8,0,14,0,22
Diego,11,0,11,0,22
Jen,15,0,7,0,22
Doug,13,0,9,0,22
Address In NYC,8,0,13,0,21
Danny,11,0,9,1,21
Michele,8,0,13,0,21
Louis,9,0,7,5,21
Elena,13,0,7,1,21
M,8,0,13,0,21
Mia,8,0,13,0,21
Julio,8,0,13,0,21
Wapt,21,0,0,0,21
Ella,15,0,6,0,21
Allison,10,0,11,0,21
Lee,14,0,6,0,20
Philip,14,0,6,0,20
Terry,10,0,10,0,20
Paula,10,0,10,0,20
Cynthia,9,0,11,0,20
Maya,9,0,11,0,20
Ignacio,19,0,1,0,20
Katy,17,0,3,0,20
Gina,10,0,10,0,20
Theresa,13,0,7,0,20
Barbara,10,0,10,0,20
Ariel,12,0,8,0,20
Yael,17,0,2,1,20
Frances,13,0,7,0,20
Jesse,12,0,8,0,20
Charlotte,12,0,8,0,20
Simon,7,0,13,0,20
Omar,10,0,9,1,20
Pamela,7,0,13,0,20
Douglas,9,0,11,0,20
Olga,14,0,4,1,19
Luke,11,0,8,0,19
Joy,8,0,11,0,19
Henry,9,0,10,0,19
Leslie,9,0,10,0,19
Adrian,10,0,9,0,19
Devon,9,0,10,0,19
Qing,12,0,7,0,19
Alejandro,8,0,10,1,19
Judy,9,0,10,0,19
Mel,16,0,3,0,19
Ron,11,0,8,0,19
Ronald,8,0,9,2,19
Dadrine,0,0,19,0,19
Esther,7,0,11,1,19
Sheila,11,0,8,0,19
Travis,13,0,6,0,19
Amir,18,0,1,0,19
Ray,12,0,7,0,19
Mohammad,9,0,9,1,19
Angie,6,0,13,0,19
Jasmine,8,0,10,0,18
Yolanda,9,0,9,0,18
Francis,17,0,1,0,18
Debbie,3,0,15,0,18
Bella,8,0,10,0,18
Camila,7,0,11,0,18
Orfelina,0,0,18,0,18
Adriana,5,0,13,0,18
Drew,13,0,5,0,18
Irina,10,0,8,0,18
J,8,0,8,2,18
Juliana,8,0,10,0,18
Nadia,7,0,11,0,18
Andres,8,0,10,0,18
Marta,9,0,9,0,18
Mo,10,0,8,0,18
Pierre,13,0,5,0,18
Larry,12,0,6,0,18
Jerome,7,0,11,0,18
Alison,7,0,11,0,18
Alina,7,0,11,0,18
Sharedeasy,0,0,17,1,18
Brittany,12,0,5,0,17
Takatomo,0,0,17,0,17
Johanna,9,0,8,0,17
SoHoBlu,14,0,3,0,17
Jemar Ira,11,0,3,3,17
Lina,12,0,5,0,17
Derek,12,0,5,0,17
Valentina,6,0,9,2,17
Jenna,11,0,6,0,17
Isabelle,11,0,6,0,17
Mariana,8,0,9,0,17
Paola,7,0,10,0,17
Karina,6,0,11,0,17
Orit,4,0,2,11,17
Zach,11,0,6,0,17
Eduardo,9,0,8,0,17
An Artful Hotel,0,0,17,0,17
Francisco,13,0,4,0,17
Kristen,11,0,6,0,17
Sue,10,0,5,2,17
Jared,5,0,12,0,17
Fad,17,0,0,0,17
Jillian,13,0,3,0,16
Vivian,6,0,9,1,16
Studioplus,15,0,1,0,16
Svetlana,11,0,5,0,16
Valentin,11,0,5,0,16
Wayne,11,0,4,1,16
Angelica,8,0,8,0,16
Austin,8,0,6,2,16
Bridge,16,0,0,0,16
Zachary,10,0,6,0,16
Sol,13,0,3,0,16
Angelo,6,0,10,0,16
Nikki,7,0,8,1,16
Petya,0,0,16,0,16
Nate,7,0,9,0,16
Marlon,1,0,15,0,16
Bianca,7,1,8,0,16
Ed,15,0,1,0,16
Raanan,16,0,0,0,16
Michal,9,0,7,0,16
Lindsey,9,0,6,1,16
Heidi,8,0,8,0,16
Raquel,7,0,9,0,16
Tracey,13,0,3,0,16
Renee,12,0,3,1,16
Sonny,0,0,6,10,16
Eddie&Vlad,4,0,10,2,16
Pauline,4,0,12,0,16
Jim,13,0,3,0,16
Owen,7,0,2,7,16
Kathryn,13,0,3,0,16
Vicky,1,0,13,2,16
Whitney,12,0,4,0,16
Bugra Han,0,0,16,0,16
Lily,12,0,4,0,16
Simone,10,0,6,0,16
Rita,10,0,5,0,15
Johnny,9,0,6,0,15
Menachem,12,0,3,0,15
Ralph,14,0,1,0,15
Darina,4,0,11,0,15
Trevor,7,0,8,0,15
Beth,7,1,7,0,15
Ellen,13,0,2,0,15
Brad,8,0,7,0,15
Bobby,10,0,5,0,15
Ethan,13,0,2,0,15
Ahmed,7,0,8,0,15
Rodrigo,11,0,4,0,15
Lydia,7,0,8,0,15
Dennis,8,0,7,0,15
Carolyn,11,0,4,0,15
Joyce,7,0,7,1,15
Morgan,10,0,4,1,15
Stephanie & Idrees,6,0,9,0,15
Georgia,13,0,1,1,15
Yu,1,0,10,4,15
Alex And Nika,4,0,11,0,15
Isabel,10,0,3,2,15
Caitlin,6,0,9,0,15
Fenix,15,0,0,0,15
Jo'S Home,1,0,1,13,15
